business_name,amount_received,purpose
FRED HUTCHINSON CANCER RESEARCH CENTER,343199,SEED NETWORK GRANT
FRESNO BARRIOS UNIDOS,500000,GENERAL OPERATING SUPPORT
FWDUS EDUCATION FUND INC,9500000,GENERAL OPERATING SUPPORT
GATES PHILANTHROPY PARTNERS,15000000,CARDIOVASCULAR HEALTH AND INFRASTRUCTURE INITIATIVE
GATES PHILANTHROPY PARTNERS,1004000,PATHOGEN IDENTIFICATION AND TRACKING
ABUNDANT HOUSING LA ACTION FUND,50000,GENERAL OPERATING SUPPORT
ACTION FOR SAFETY AND JUSTICE,1500000,GENERAL OPERATING SUPPORT
ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT,400000,AFFORDABLE HOUSING
ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT,200000,AFFORDABLE HOUSING
AMERICAN CIVIL LIBERTIES UNION OF KENTUCKY INC,125000,CRIMINAL JUSTICE REFORM
BAY AREA HOUSING ADVOCACY COALITION,275000,GENERAL OPERATING SUPPORT
BAY AREA HOUSING ADVOCACY COALITION,25000,AFFORDABLE HOUSING
CONSERVATIVES FOR CRIMINAL JUSTICE REFORM,147000,CRIMINAL JUSTICE REFORM
DRUG POLICY ACTION,380475,CRIMINAL JUSTICE REFORM
DRUG POLICY ACTION,625000,GENERAL OPERATING SUPPORT
FORWARD JUSTICE ACTION NETWORK,250000,CRIMINAL JUSTICE REFORM
FWDUS INC,63806133,GENERAL OPERATING SUPPORT
JUST TRUST FOR ACTION,4900000,GENERAL OPERATING SUPPORT
KENTUCKY CENTER FOR ECONOMIC POLICY INC,37500,CRIMINAL JUSTICE REFORM
KENTUCKY CHAMBER ADVOCACY COMMITTEE INC,90000,CRIMINAL JUSTICE REFORM
NORTH CAROLINA JUSTICE CENTER,178125,CRIMINAL JUSTICE REFORM
NPH ACTION FUND,450000,GENERAL OPERATING SUPPORT
OREGON ACTION,100000,CRIMINAL JUSTICE REFORM
PRISON FELLOWSHIP MINISTRIES,150000,CRIMINAL JUSTICE REFORM
SAFETY AND JUSTICE OREGON,360000,CRIMINAL JUSTICE REFORM
SILICON VALLEY RISING ACTION,500000,AFFORDABLE HOUSING
SVHOME ACTION FUND,300000,GENERAL OPERATING SUPPORT
TECHEQUITY ACTION,1000000,GENERAL OPERATING SUPPORT
VITAL STRATEGIES INC,150000,PUBLIC HEALTH
YIMBY ACTION,250000,GENERAL OPERATING SUPPORT
STANFORD UNIVERSITY,8442707,SCIENTIFIC AND MEDICAL RESEARCH
UC SAN FRANCISCO,8528162,SCIENTIFIC AND MEDICAL RESEARCH
UC BERKELEY,4100000,SCIENTIFIC AND MEDICAL RESEARCH
