id,business_name,amount_received,purpose,city,state
0,KHAN ACADEMY,5000000,EDUCATION,MOUNTAIN VIEW,CA
1,BETH ISRAEL DEACONESS MEDICAL CENTER,5000000,COVID-19 VACCINE RESEARCH FUND,BOSTON,MA
2,TESLA SCIENCE CENTER AT WARDENCLYFF,100000,SCIENCE AND TECHNOLOGY,SHOREHAM,NY
3,FEEDING TEXAS,100000,PUBLIC CHARITY SUPPORT,AUSTIN,TX
4,SACRED HEART UNIVERSITY,-50000,"AFTER THE GRANT WAS MADE ON APRIL 29, 2020, THE UNIVERSITY DECIDED NOT TO EXECUTE THE PROJECT. THE UNIVERSITY REFUNDED THE GRANT BACK TO THE FOUNDATION.",FAIRFIELD,CT
