id,business_name,amount_received,purpose,city,state
125,STANFORD UNIVERSITY,8442707,SCIENTIFIC AND MEDICAL RESEARCH,PALO ALTO,CA
126,UC SAN FRANCISCO,8528162,SCIENTIFIC AND MEDICAL RESEARCH,SAN FRANCISCO,CA
127,UC BERKELEY,4100000,SCIENTIFIC AND MEDICAL RESEARCH,BERKELEY,CA
